Date,Open,High,Low,Close
10/02/2023,"4,284.52","4,300.58","4,260.21","4,288.39"
09/29/2023,"4,328.18","4,333.15","4,274.86","4,288.05"
09/28/2023,"4,269.65","4,317.27","4,264.38","4,299.70"
09/27/2023,"4,282.63","4,292.07","4,238.63","4,274.51"
09/26/2023,"4,312.88","4,313.01","4,265.98","4,273.53"
09/25/2023,"4,310.62","4,338.51","4,302.70","4,337.44"
09/22/2023,"4,341.74","4,357.40","4,316.49","4,320.06"
09/21/2023,"4,374.36","4,375.70","4,329.17","4,330.00"
09/20/2023,"4,452.81","4,461.03","4,401.38","4,402.20"
09/19/2023,"4,445.41","4,449.85","4,416.61","4,443.95"
09/18/2023,"4,445.13","4,466.36","4,442.11","4,453.53"
09/15/2023,"4,497.98","4,497.98","4,447.21","4,450.32"
09/14/2023,"4,487.78","4,511.99","4,478.69","4,505.10"
09/13/2023,"4,462.65","4,479.39","4,453.52","4,467.44"
09/12/2023,"4,473.27","4,487.11","4,456.83","4,461.90"
09/11/2023,"4,480.98","4,490.77","4,467.89","4,487.46"
09/08/2023,"4,451.30","4,473.53","4,448.38","4,457.49"
09/07/2023,"4,434.55","4,457.81","4,430.46","4,451.14"
09/06/2023,"4,490.35","4,490.35","4,442.38","4,465.48"
09/05/2023,"4,510.06","4,514.29","4,496.01","4,496.83"
